name,r52,r56,r57,r58,r54,r3538,pmg205,pmg235
G2,0.996999,1133.06722754473,1310.3055764294,541.838798855393,10424.4724866859,,0.03171195784749,1.7267
E,1.00076145131085,2072.49827050051,2312.83836160988,959.483706137707,9523.80952380952,,0.0103116,1.03356161714094
G,0.996999,468.399,539.595,227.33,5294.95,,0.03171195784749,1.7267
A,0.44069,13.846579894766,41.0088168956326,16.3265306122449,651.890482398957,1405,0.012717073170732,1.33029787234043
